Date,temperature,anomoly
2/23/2023 6:00,13.262,0.1761
2/23/2023 12:00,13.791,0.2286
2/23/2023 18:00,13.573,0.2192
2/24/2023 0:00,12.969,0.1381
2/24/2023 6:00,13.324,0.2209
2/24/2023 12:00,13.773,0.1918
2/24/2023 18:00,13.569,0.1984
2/25/2023 0:00,13.087,0.2402
2/25/2023 6:00,13.436,0.3127
2/25/2023 12:00,13.79,0.1894
2/25/2023 18:00,13.622,0.2306
2/26/2023 0:00,13.168,0.3005
2/26/2023 6:00,13.443,0.2963
2/26/2023 12:00,13.952,0.3278
2/26/2023 18:00,13.726,0.3121
2/27/2023 0:00,13.268,0.38
2/27/2023 6:00,13.577,0.4051
2/27/2023 12:00,14.065,0.4166
2/27/2023 18:00,13.851,0.4172
2/28/2023 0:00,13.402,0.4937
2/28/2023 6:00,13.67,0.4753
2/28/2023 12:00,14.189,0.517
2/28/2023 18:00,13.987,0.5308
3/1/2023 0:00,13.439,0.5089
3/1/2023 6:00,13.742,0.5227
3/1/2023 12:00,14.218,0.5181
3/1/2023 18:00,13.962,0.4821
3/2/2023 0:00,13.427,0.4752
3/2/2023 6:00,13.713,0.4689
3/2/2023 12:00,14.25,0.5249
3/2/2023 18:00,13.988,0.4853
3/3/2023 0:00,13.404,0.4289
3/3/2023 6:00,13.834,0.5645
3/3/2023 12:00,14.279,0.5275
3/3/2023 18:00,13.953,0.4264
3/4/2023 0:00,13.435,0.4354
3/4/2023 6:00,13.822,0.5258
3/4/2023 12:00,14.252,0.4719
3/4/2023 18:00,13.991,0.4403
3/5/2023 0:00,13.536,0.5108
3/5/2023 6:00,13.915,0.5927
3/5/2023 12:00,14.391,0.5853
3/5/2023 18:00,14.136,0.559
3/6/2023 0:00,13.674,0.621
3/6/2023 6:00,14.037,0.6869
3/6/2023 12:00,14.443,0.6125
3/6/2023 18:00,14.206,0.6054
3/7/2023 0:00,13.678,0.5994
3/7/2023 6:00,14.054,0.6751
3/7/2023 12:00,14.477,0.6207
3/7/2023 18:00,14.216,0.5888
3/8/2023 0:00,13.75,0.6452
3/8/2023 6:00,14.069,0.6632
3/8/2023 12:00,14.537,0.6565
3/8/2023 18:00,14.294,0.6416
3/9/2023 0:00,13.763,0.6305
3/9/2023 6:00,14.135,0.6987
3/9/2023 12:00,14.659,0.753
3/9/2023 18:00,14.343,0.6643
3/10/2023 0:00,13.933,0.7718
3/10/2023 6:00,14.281,0.8139
3/10/2023 12:00,14.706,0.7753
3/10/2023 18:00,14.385,0.6783
3/11/2023 0:00,13.916,0.7235
3/11/2023 6:00,14.209,0.7112
3/11/2023 12:00,14.727,0.7718
3/11/2023 18:00,14.381,0.647
3/12/2023 0:00,13.893,0.6707
3/12/2023 6:00,14.222,0.6935
3/12/2023 12:00,14.625,0.6437
3/12/2023 18:00,14.381,0.6185
3/13/2023 0:00,13.917,0.6647
3/13/2023 6:00,14.199,0.637
3/13/2023 12:00,14.581,0.5711
3/13/2023 18:00,14.347,0.5544
3/14/2023 0:00,13.839,0.5531
3/14/2023 6:00,14.204,0.6061
3/14/2023 12:00,14.542,0.5031
3/14/2023 18:00,14.244,0.4222
3/15/2023 0:00,13.817,0.4993
3/15/2023 6:00,14.144,0.512
3/15/2023 12:00,14.572,0.5009
3/15/2023 18:00,14.328,0.4754
3/16/2023 0:00,13.928,0.5768
3/16/2023 6:00,14.19,0.5239
3/16/2023 12:00,14.625,0.5222
3/16/2023 18:00,14.421,0.5388
3/17/2023 0:00,13.945,0.562
3/17/2023 6:00,14.209,0.5084
3/17/2023 12:00,14.651,0.5156
3/17/2023 18:00,14.335,0.4231
3/18/2023 0:00,13.924,0.512
3/18/2023 6:00,14.224,0.4932
3/18/2023 12:00,14.629,0.4658
3/18/2023 18:00,14.327,0.3862
3/19/2023 0:00,13.897,0.4549
3/19/2023 6:00,14.209,0.4494
3/19/2023 12:00,14.504,0.3119
3/19/2023 18:00,14.189,0.2219
3/20/2023 0:00,13.73,0.2611
3/20/2023 6:00,14.082,0.2891
3/20/2023 12:00,14.449,0.2247
3/20/2023 18:00,14.304,0.3061
3/21/2023 0:00,13.827,0.3264
3/21/2023 6:00,14.067,0.2421
3/21/2023 12:00,14.565,0.3099
3/21/2023 18:00,14.377,0.35
3/22/2023 0:00,13.917,0.3864
3/22/2023 6:00,14.28,0.4233
3/22/2023 12:00,14.639,0.3551
3/22/2023 18:00,14.425,0.3696
3/23/2023 0:00,13.978,0.4185
3/23/2023 6:00,14.293,0.4044
